ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
193290,2020,2020,2020,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,38.8,,,37.3,40.3,"21,806",,,OWS,OWS1,Q036,,Education,EDU,Less than high school,EDUHS,,,,,,,,,0,,,,
193291,2020,2020,2020,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34,,,33.3,34.7,"94,257",,,OWS,OWS1,Q036,,Education,EDU,High school graduate,EDUHSGRAD,,,,,,,,,0,,,,
193292,2020,2020,2020,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.1,,,33.4,34.8,"98,874",,,OWS,OWS1,Q036,,Education,EDU,Some college or technical school,EDUCOTEC,,,,,,,,,0,,,,
193293,2020,2020,2020,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25,,,24.5,25.5,"138,059",,,OWS,OWS1,Q036,,Education,EDU,College graduate,EDUCOGRAD,,,,,,,,,0,,,,
193370,2020,2020,2020,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,40.4,,,34.8,46.3,452,32.84057112,-86.63186076,OWS,OWS1,Q036,,Education,EDU,Less than high school,EDUHS,,,,,,,,,1,,,,
193371,2020,2020,2020,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,39.6,,,36.4,42.8,"1,442",32.84057112,-86.63186076,OWS,OWS1,Q036,,Education,EDU,High school graduate,EDUHSGRAD,,,,,,,,,1,,,,
193372,2020,2020,2020,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,40.1,,,36.9,43.3,"1,390",32.84057112,-86.63186076,OWS,OWS1,Q036,,Education,EDU,Some college or technical school,EDUCOTEC,,,,,,,,,1,,,,
193373,2020,2020,2020,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.1,,,33.3,38.9,"1,682",32.84057112,-86.63186076,OWS,OWS1,Q036,,Education,EDU,College graduate,EDUCOGRAD,,,,,,,,,1,,,,
193397,2020,2020,2020,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.6,,,21.1,39.7,169,64.84507996,-147.722059,OWS,OWS1,Q036,,Education,EDU,Less than high school,EDUHS,,,,,,,,,2,,,,
193398,2020,2020,2020,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.9,,,30,40,986,64.84507996,-147.722059,OWS,OWS1,Q036,,Education,EDU,High school graduate,EDUHSGRAD,,,,,,,,,2,,,,
