ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
193288,2020,2020,2020,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.7,,,31.2,32.2,"169,442",,,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,0,,,,
193289,2020,2020,2020,US,National,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,32.1,,,31.6,32.7,"184,399",,,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,0,,,,
193368,2020,2020,2020,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,37.7,,,35,40.4,"2,089",32.84057112,-86.63186076,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,1,,,,
193369,2020,2020,2020,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,40.3,,,38,42.7,"2,884",32.84057112,-86.63186076,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,1,,,,
193395,2020,2020,2020,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33.8,,,30.3,37.4,"1,720",64.84507996,-147.722059,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,2,,,,
193396,2020,2020,2020,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.6,,,26.2,33.2,"1,615",64.84507996,-147.722059,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,2,,,,
193422,2020,2020,2020,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.8,,,28.9,32.8,"4,414",34.86597028,-111.7638113,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,4,,,,
193423,2020,2020,2020,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31,,,29,33,"4,753",34.86597028,-111.7638113,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,4,,,,
193449,2020,2020,2020,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,33.8,,,31.1,36.6,"2,061",34.74865012,-92.27449074,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,5,,,,
193450,2020,2020,2020,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,39.1,,,36.3,42,"2,635",34.74865012,-92.27449074,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,5,,,,
193476,2020,2020,2020,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.7,,,28.1,33.5,"2,193",37.63864012,-120.9999995,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,6,,,,
193477,2020,2020,2020,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.8,,,27,32.6,"2,161",37.63864012,-120.9999995,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,6,,,,
193503,2020,2020,2020,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.3,,,22.8,25.7,"4,697",38.84384076,-106.1336109,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,8,,,,
193504,2020,2020,2020,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.1,,,22.6,25.6,"4,514",38.84384076,-106.1336109,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,8,,,,
193530,2020,2020,2020,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.4,,,26.3,30.6,"3,798",41.56266102,-72.64984095,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,9,,,,
193531,2020,2020,2020,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30,,,27.8,32.3,"4,132",41.56266102,-72.64984095,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,9,,,,
193557,2020,2020,2020,DE,Delaware,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.4,,,32.2,38.7,"1,622",39.00883067,-75.57774117,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,10,,,,
193558,2020,2020,2020,DE,Delaware,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,37.7,,,34.7,40.8,"1,898",39.00883067,-75.57774117,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,10,,,,
193584,2020,2020,2020,DC,District of Columbia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,19.1,,,16.5,22,"1,456",38.89037139,-77.03196113,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,11,,,,
193585,2020,2020,2020,DC,District of Columbia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.1,,,26.1,32.2,"1,670",38.89037139,-77.03196113,OWS,OWS1,Q036,,Gender,GEN,Female,FEMALE,,,,,,,,,11,,,,
193611,2020,2020,2020,FL,Florida,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.9,,,26.5,31.4,"4,977",28.93204038,-81.92896054,OWS,OWS1,Q036,,Gender,GEN,Male,MALE,,,,,,,,,12,,,,
